,Timestamp,Device ID,Device Cost,Device Name,Cost Center,Employee ID,Action
0,2024-06-04 10:45:14,8MRH4WMTTH,$1299.00,HP - Omen 15,Operations,E1KDAX8D0YE7T2M,Renew
1,2023-03-30 01:43:41,V1HNICR17N,"$1,399.99 ",Dell - XPS 14,Legal,IDE8LUODYDRM6GV,Renew
2,2023-08-09 12:28:18,UXELO1J0QT,"$1,799.99 ",Dell - XPS 17 9720,HR,JDKYYAPTDOARA7N,New
3,2023-02-05 11:14:27,162PHXF1E8,"$1,599.99 ",Microsoft - Surface Laptop Studio,Finance,UN3ZZD7ZDYLVRDN,Renew
4,2023-10-07 02:41:27,L1SYO49JWE,$999.99 ,Dell - XPS 13 9300,R&D,VI86KIQE4TUKQLO,New
5,2024-04-08 15:35:10,77J3BD5AN5,$1149.00,HP - Spectre x360 14,HR,I2Q09L732V2VBCP,Renew
6,2024-06-04 20:06:43,JRFV1FD5OY,"$2,199.00 ","Mac - M3 Pro MacBook Pro 14""",IT,TPL2GPAXOERJI90,Return
7,2024-03-25 23:35:36,J4XEFHF86Z,"$2,199.00 ","Mac - M3 Pro MacBook Pro 14""",R&D,XXXYP8IIEK5IC5V,Renew
8,2023-05-07 18:37:44,WHB3SJEZNR,$999.99 ,Microsoft - Surface Laptop 3,R&D,YRW5P5BI7G29FPZ,Return
9,2024-05-18 06:32:17,U7N9WZCNOP,"$1,799.99 ",Dell - XPS 17 9720,Customer Service,GL5N28LGWP4O9G0,New
10,2024-02-19 09:49:39,MDS9U55N5R,"$1,299.99 ",Dell - XPS 15 9500,Legal,SJ3LNRS9E60ZM8Y,Return
11,2024-02-03 02:12:59,OLHNCI2SPH,"$1,099.99 ",Dell - XPS 13 9315,R&D,6Q5EHMNDZ5RO50U,Return
12,2023-07-18 11:18:08,070TXSOTPX,"$1,099.99 ",Microsoft - Surface Pro 8,IT,MHQG6R6R1UNE3Y9,Return
13,2023-12-27 21:22:33,QPDQM5AMRP,"$1,699.99 ",Dell - XPS 17 9710,Operations,8DBKO6ITF3BZ87G,Return
14,2023-06-09 06:05:21,0UI7WLR1EV,"$1,099.99 ",Microsoft - Surface Pro 8,Customer Service,02AK90C8QON1Q44,New
15,2023-03-05 22:28:46,X9JB6Y7NDS,"$1,299.99 ",Microsoft - Surface Laptop 4,Sales,G177A2LYG7QRJ8K,Return
16,2023-01-26 12:10:42,6NW3B0W52S,$799.00,HP - Envy x360 15,Product Development,PB7TXGT2N7KKQNW,Return
17,2023-08-19 06:45:38,RYZA7982S5,"$2,099.99 ",Dell - Alienware m15 R6,Customer Service,MS6UNYQDYUVSXW6,Return
18,2024-02-28 00:17:11,O2OQETT9NY,"$1,099.99 ",Dell - XPS 13 9315,Legal,MG1TE79EI200MP4,Return
19,2023-12-26 02:39:13,T9F3LMZTVJ,"$1,599.99 ",Dell - XPS 15 9520,Customer Service,PXEQ20TSAD2FAYD,Return
20,2023-10-11 11:33:20,EK0QYQJDYR,"$1,999.00 ","Mac - M2 MacBook Pro 14""",Customer Service,714BWWUTWPD5CQX,Renew
21,2024-06-19 23:50:53,KTZL8Q3581,"$2,499.00 ","Mac - M3 Pro MacBook Pro 16""",Customer Service,G3DHEG849ALO4TH,Renew
22,2023-07-29 16:35:43,DDLADS8H95,"$1,299.00 ","Mac - M2 MacBook Air 15""",Sales,4Q4KZVPPKNYT8ZY,Return
23,2023-09-23 01:25:33,CN74TTMJMK,"$1,199.00 ",Mac - M2 MacBook Air,R&D,UJ699NWD0V0QDKZ,Renew
24,2024-02-29 06:31:08,CSP4OWG8GN,"$1,199.00 ",Mac - M2 MacBook Air,Finance,BUKTCHETU8FKF03,Return
25,2023-08-23 00:39:11,A0QCKVY9CH,$999.00 ,Mac - M1 MacBook Air,Operations,XPW227W7MN7AFPI,New
26,2023-10-23 15:29:12,10DI1G1CP3,"$1,599.99 ",Microsoft - Surface Laptop Studio,HR,06IMY6DVV08ETYL,Return
27,2023-05-01 16:19:24,QE2CMQJWZD,"$1,699.99 ",Dell - XPS 17 9710,Marketing,014M1J5LEVQKKRQ,New
28,2023-05-23 20:39:29,WGCCLDS9A3,$999.99 ,Microsoft - Surface Laptop 3,Operations,CN9FYHGDHXULQD9,Return
29,2023-10-01 17:23:17,4TV9F7Q0HP,"$1,199.99 ",Microsoft - Surface Pro 9,Finance,2R5DQ6QDW6SQ5EI,Return
30,2023-05-04 12:41:54,RTCFKBIK0C,"$2,099.99 ",Dell - Alienware m15 R6,Customer Service,VP2YBH0AC14Y7KL,Renew
31,2023-02-13 05:21:41,6R6K17Q5K3,$799.00,HP - Envy x360 15,HR,U9IME5MIO4P4S3T,New
32,2023-02-28 02:02:24,GBYYYC38JT,"$1,099.00 ","Mac - M3 MacBook Air 13""",HR,FUC08M9FRT88OHO,Renew
33,2024-05-28 22:57:12,6W098MBJLR,$799.00,HP - Envy x360 15,HR,GKBM7W27UDNXUJJ,Renew
34,2024-06-09 02:17:00,UBQ3ONHL0U,"$1,799.99 ",Dell - XPS 17 9720,Finance,KDMUMKEOSTMKDTB,Renew
35,2023-09-26 08:19:11,KJPJVX1GMO,"$2,499.00 ","Mac - M3 Pro MacBook Pro 16""",Sales,SB6G4V02Q4IDUR2,Renew
36,2024-03-04 06:37:34,T373QRKW7I,"$1,599.99 ",Dell - XPS 15 9520,Legal,06LEG0MHEM8ECZE,Renew
37,2023-04-13 22:50:39,C5Q96I8N09,"$1,199.00 ",Mac - M2 MacBook Air,Finance,WJCH4SIBX9E3C8P,New
38,2023-08-27 07:26:51,UYHV8MYQ36,"$1,799.99 ",Dell - XPS 17 9720,Operations,0VDM273UVK07E5Z,Renew
39,2023-07-29 06:48:38,VZPS2LV38V,"$1,399.99 ",Dell - XPS 14,Customer Service,3MU7NNCYXFWMORJ,Return
40,2023-04-27 07:16:46,ED79EK3ATS,"$1,999.00 ","Mac - M2 MacBook Pro 14""",Legal,WVF29Z7IQCAXBPQ,New
