Timestamp,Hold Time,Customer ID,Complaint Type,Agent ID,Call Duration,Resolution Status,start_time,end_time
2025-01-01 00:02:42,05:26,EU62NVUAI6KX6D2,Billing,7OCTF99Y2J,57:49,Pending,2025-01-01 00:08:08,2025-01-01 01:05:57
2025-01-01 01:13:07,06:13,RR6R9H1Z46FQV1E,Technical Support,GNRXZWLKN3,21:27,Resolved,2025-01-01 01:19:20,2025-01-01 01:40:47
2025-01-01 01:55:49,08:03,LEW5NODS1OA9V9Q,Technical Support,8JCHDLU8MR,18:41,Resolved,2025-01-01 02:03:52,2025-01-01 02:22:33
2025-01-01 02:03:33,02:15,ZKVCQ13GOBBJYAQ,Technical Support,1LFL7ED7C7,33:47,Resolved,2025-01-01 02:05:48,2025-01-01 02:39:35
2025-01-01 03:57:31,08:41,UYTW9B1WGAR1YEF,Billing,4T5D6A26PA,55:19,Resolved,2025-01-01 04:06:12,2025-01-01 05:01:31
2025-01-01 04:39:14,06:02,72M7201T5ZE8EY7,Billing,37DNZDU8U3,35:00,Resolved,2025-01-01 04:45:16,2025-01-01 05:20:16
2025-01-01 05:03:07,02:30,N0DREZ762LWKYKX,Account Management,9Q68LCMIE2,04:09,Resolved,2025-01-01 05:05:37,2025-01-01 05:09:46
2025-01-01 09:42:33,07:43,9RCQMM879YR7RJX,Account Management,O8C1FO5MR8,36:23,Resolved,2025-01-01 09:50:16,2025-01-01 10:26:39
2025-01-01 10:18:49,03:16,V7BVRJLGOBJJ8K5,Account Management,GNRXZWLKN3,23:44,Resolved,2025-01-01 10:22:05,2025-01-01 10:45:49
2025-01-01 10:33:48,05:32,1UD6G8JX76AUZ46,Account Management,0761T5NPZW,41:58,Resolved,2025-01-01 10:39:20,2025-01-01 11:21:18
2025-01-01 10:34:26,05:17,HRSSY7XET5THYHI,Account Management,V5V4TS8NDE,52:12,Resolved,2025-01-01 10:39:43,2025-01-01 11:31:55
2025-01-01 10:48:22,09:50,A8NJU0M84ZWZ93N,Technical Support,BPMJS8EW15,22:02,Resolved,2025-01-01 10:58:12,2025-01-01 11:20:14
2025-01-01 10:59:44,05:52,194QEHCNNMQZSQY,Billing,EGGPRLOCG3,43:23,Resolved,2025-01-01 11:05:36,2025-01-01 11:48:59
2025-01-01 12:04:53,05:39,4RB5XKHZWE77XK3,Technical Support,RPT5QREKGU,51:22,Resolved,2025-01-01 12:10:32,2025-01-01 13:01:54
